OrganizationFormalName,ActivityStartDate,ProjectName,MonitoringLocationName,Latitude,Logitude,ResultIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnit,AnalyticalMethod
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387930,Cadmium,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),1/28/2013,Water Quality Monitoring,Georgetown Gas,46.72,-124.02,STORET-281294978,Zinc,7.60000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513389327,Zinc,0.01400,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513388850,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387372,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513388391,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513384188,Copper,0.00100,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513382277,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),5/29/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279138512,Zinc,0.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,170th Outfall,47.373,-122.114,STORET-513382056,Iron,0.11800,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,Upper Site 0050,47.2242,-122.104,STORET-279142571,Zinc,14.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385393,Iron,0.06900,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513387829,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),8/29/2013,White River Water Quality Monitoring Project,Mouth Site 0048,47.2313,-122.111,STORET-279142947,Zinc,0.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385516,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387377,Iron,0.45600,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279144503,Zinc,0.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387368,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,170th Outfall,47.373,-122.114,STORET-513382073,Copper,0.00100,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513388572,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513384823,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513388576,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385398,Lead,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),5/21/2013,Water Quality Monitoring,Georgetown Gas,46.72,-124.02,STORET-281294980,Zinc,62.00000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513387815,Iron,0.19400,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385403,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513388835,Zinc,0.00700,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513385665,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513386930,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513388587,Iron,0.08400,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),8/29/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279136729,Zinc,7.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513383577,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,Mouth Site 0048,47.2313,-122.111,STORET-279138682,Copper,7.60000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385500,Iron,0.09600,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,Upper Site 0050,47.2242,-122.104,STORET-279138227,Copper,3.70000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513381911,Zinc,0.00600,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,170th Outfall,47.373,-122.114,STORET-513382069,Cadmium,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),8/6/2013,Water Quality Monitoring,Milepost 18.4,46.72,-123.98,STORET-281295055,Copper,6.00000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,170th Outfall,47.373,-122.114,STORET-513382053,Zinc,0.00500,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513381932,Iron,0.40400,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513386649,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513384846,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513381917,Copper,0.00100,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513386629,Copper,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),1/28/2013,Water Quality Monitoring,Milepost 18.4,46.72,-123.98,STORET-281295037,Zinc,33.00000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513386918,Iron,0.23800,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513386238,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385399,Zinc,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),8/13/2013,Water Quality Monitoring,Milepost 18.4,46.72,-123.98,STORET-281295062,Zinc,8.20000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,408 Site 0048,47.2359,-122.101,STORET-279139628,Zinc,7.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385509,Zinc,0.01400,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),12/2/2013,Water Quality Monitoring,Georgetown Gas,46.72,-124.02,STORET-281294982,Zinc,13.70000,ug/L,7010
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),12/2/2013,Water Quality Monitoring,Georgetown Gas,46.72,-124.02,STORET-281294981,Copper,9.50000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387926,Iron,0.31800,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513385684,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),5/29/2013,White River Water Quality Monitoring Project,Upper Site 0050,47.2242,-122.104,STORET-279137054,Copper,11.80000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513384169,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),5/29/2013,White River Water Quality Monitoring Project,408 Site 0048,47.2359,-122.101,STORET-279143677,Copper,21.40000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513384831,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,408 Site 0048,47.2359,-122.101,STORET-279136850,Copper,4.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513384835,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513381921,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513388582,Copper,0.00000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),11/19/2013,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-598756587,Lead,0.00070,mg/L,6020
Lummi Tribe of the Lummi Reservation (Tribal),3/19/2013,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-598751429,Chromium,0.01000,mg/L,6020
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,170th Outfall,47.373,-122.114,STORET-513382055,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387932,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513386213,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387929,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513382251,Iron,0.11900,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513384179,Iron,0.17600,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513388848,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513387817,Lead,0.00000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/28/2013,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-598753073,Lead,0.00090,mg/L,6020
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513381930,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513386647,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385486,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513388380,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513386901,Copper,0.00100,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),8/29/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279136733,Copper,10.70000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513383566,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513385669,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,156th Ave Outfall,47.3661,-122.134,STORET-513385661,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,Upper Site 0050,47.2242,-122.104,STORET-279138212,Zinc,0.00000,ug/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),8/6/2013,Water Quality Monitoring,Milepost 18.4,46.72,-123.98,STORET-281295056,Zinc,36.00000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513386903,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),5/29/2013,White River Water Quality Monitoring Project,408 Site 0048,47.2359,-122.101,STORET-279143662,Zinc,26.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513388376,Iron,0.27900,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513386906,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,Mouth Site 0048,47.2313,-122.111,STORET-279138678,Zinc,9.00000,ug/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),12/2/2013,Water Quality Monitoring,Milepost 18.4,46.72,-123.98,STORET-281295098,Zinc,26.60000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513387837,Copper,0.00000,mg/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),5/21/2013,Water Quality Monitoring,Milepost 18.4,46.72,-123.98,STORET-281295038,Copper,20.00000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Outfall Above Hatchery,47.3123,-122.165,STORET-513387371,Cadmium,0.00000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/29/2013,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-598753306,Arsenic,0.00213,mg/L,6020
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513382254,Cadmium,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soosette Creek,47.3326,-122.156,STORET-513384822,Iron,0.18200,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Little Soos Creek,47.3582,-122.125,STORET-513387831,Zinc,0.01000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513384171,Zinc,0.03500,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,Mainstem Site 3,47.2849,-122.182,STORET-279142777,Copper,1.20000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513388562,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513388851,Copper,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),3/20/2013,White River Water Quality Monitoring Project,Upper Site 0050,47.2242,-122.104,STORET-279142572,Copper,11.50000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Timberlane Dr Outfall YR1,47.3618,-122.097,STORET-513389325,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Covington Creek,47.3125,-122.108,STORET-513382269,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513386653,Iron,0.22000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),6/25/2013,White River Water Quality Monitoring Project,408 Site 0048,47.2359,-122.101,STORET-279136858,Zinc,0.00000,ug/L,200.8
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation (Tribal),5/21/2013,Water Quality Monitoring,Georgetown Gas,46.72,-124.02,STORET-281294979,Copper,6.90000,ug/L,7010
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Hatchery,47.31,-122.169,STORET-513388378,Zinc,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),8/29/2013,White River Water Quality Monitoring Project,Upper Site 0050,47.2242,-122.104,STORET-279136784,Zinc,5.00000,ug/L,200.8
Muckleshoot Indian Tribe (Tribal),11/18/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Jenkins Creek,47.3404,-122.13,STORET-513385498,Lead,0.00000,mg/L,200.8
Muckleshoot Indian Tribe (Tribal),12/20/2013,Project EPACONTINUOUS (system generated);2015_Soos Creek Stormwater Monitoring,Soos Creek Kent Black Diamond Rd,47.3435,-122.134,STORET-513386633,Cadmium,0.00000,mg/L,200.8
